"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp2-R0"
"04/15/2020 15:18:04:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-symptomatiques","p-asymptomatiques","p-immuniser","p-mort","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"39","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","211","0.4594594594594595","0.9894957983193278","18.777310924369747","0.9894957983193278"
"38","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","188","0.2644787644787645","0.9817518248175182","19.23722627737226","0.9817518248175182"
"33","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","341","0.23552123552123552","0.9795081967213115","21.49590163934426","0.9795081967213115"
"37","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","265","0.4063706563706564","0.9881235154394299","21.29691211401425","0.9881235154394299"
"40","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","269","0.43822393822393824","0.9889867841409692","19.97136563876652","0.9889867841409692"
"45","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","171","0.49131274131274133","0.9901768172888016","20.721021611001966","0.9901768172888016"
"42","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","118","0.19111969111969113","0.9747474747474747","20.262626262626263","0.9747474747474747"
"44","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","207","0.47104247104247104","0.9897540983606558","19.3422131147541","0.9897540983606558"
"43","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","245","0.35714285714285715","0.9864864864864865","19.497297297297298","0.9864864864864865"
"47","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","197","0.21042471042471042","0.9770642201834863","20.091743119266056","0.9770642201834863"
"46","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","251","0.38223938223938225","0.9873737373737373","20.29040404040404","0.9873737373737373"
"48","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","258","0.4362934362934363","0.9889380530973452","19.048672566371682","0.9889380530973452"
"50","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","249","0.3783783783783784","0.9872448979591837","19.681122448979593","0.9872448979591837"
